Sample,Reads,CpG reads,CpG/Total,Mapping,Used reads,Cell type
neuron_1,20496522,6717084,32.7718234342392,97.29,6535051.0236,neuron
oligodendrocyte_1,21712783,13054500,60.1235686830196,98.62,12874347.9,oligodendrocyte
neuron_2,18350634,6411886,34.9409508140155,97.65,6261206.679,neuron
oligodendrocyte_2,21445920,13292988,61.9837619463283,98.14,13045738.4232,oligodendrocyte
neuron_3,20666239,6583295,31.8553124252555,97.23,6400937.7285,neuron
oligodendrocyte_3,19964396,12764991,63.9387788140448,98.39,12559474.6449,oligodendrocyte
neuron_4,20773370,6492332,31.2531476597201,98.48,6393648.5536,neuron
oligodendrocyte_4,20913592,6849634,32.7520686068658,54.83,3755654.3222,oligodendrocyte
neuron_5,20074466,6365190,31.7078920056952,98.15,6247433.985,neuron
oligodendrocyte_5,19525020,12283143,62.9097588632432,98.74,12128375.3982,oligodendrocyte
neuron_6,21674558,7583865,34.9897100554484,98.46,7467073.479,neuron
oligodendrocyte_6,21573372,11371474,52.7106935346037,97.36,11071267.0864,oligodendrocyte
neuron_7,21611817,7915113,36.624005283776,98.01,7757602.2513,neuron
oligodendrocyte_7,21611868,12606533,58.3315287692855,95.27,12010243.9891,oligodendrocyte
neuron_8,21563681,9908091,45.9480503351909,97.58,9668315.1978,neuron
oligodendrocyte_8,22067533,13606776,61.6597061393315,97.85,13314230.316,oligodendrocyte
neuron_9,21970611,5871906,26.7261843560018,93.54,5492580.8724,neuron
oligodendrocyte_9,20326033,13075970,64.3311461710212,97.9,12801374.63,oligodendrocyte
neuron_10,19177166,5902381,30.7781712897516,97.54,5757182.4274,neuron
oligodendrocyte_10,23491261,13598105,57.8858027246813,97.7,13285348.585,oligodendrocyte
neuron_11,21758720,6791053,31.2107191967175,95.78,6504470.5634,neuron
oligodendrocyte_11,20090337,12561092,62.5230527491898,98.24,12340016.7808,oligodendrocyte
MET19M01472-M1,31757097,6612249,20.8213269619701,97.62,6454877.4738,melanoma
MET19M01478-M1,21683768,11962658,55.1687234432687,98.57,11791591.9906,melanoma
